GDM;Category_name_h2;Category_name_h3;Category_name_h4
E1AR_CCQZ;ACCESSOIRES-CHIEN;ACCESSOIRES-CHIEN-TRANSPORT;ACCESSOIRES-CHIEN-TRANSPORT-TRANSPORTEURS
E1AR_YYZZ;ACCESSOIRES-CHIEN;ACCESSOIRES-CHIEN-TRANSPORT;ACCESSOIRES-CHIEN-TRANSPORT-AUTRES
E1AS_CDZZ;ACCESSOIRES-CHIEN;ACCESSOIRES-CHIEN-DRESSAGE;ACCESSOIRES-CHIEN-DRESSAGE-MUSELI‘RES
E1AS_CEZZ;ACCESSOIRES-CHIEN;ACCESSOIRES-CHIEN-DRESSAGE;ACCESSOIRES-CHIEN-DRESSAGE-ANTI-ABOIEMENT
E1AS_CFZZ;ACCESSOIRES-CHIEN;ACCESSOIRES-CHIEN-DRESSAGE;ACCESSOIRES-CHIEN-DRESSAGE-CLOTÍRE/ENCLOS
E1AS_YYZZ;ACCESSOIRES-CHIEN;ACCESSOIRES-CHIEN-DRESSAGE;ACCESSOIRES-CHIEN-DRESSAGE-AUTRES
E1AU_YYZZ;ACCESSOIRES-CHIEN;ACCESSOIRES-CHIEN-DIVERS;ACCESSOIRES-CHIEN-DIVERS-AUTRES
E1AW_YYZZ;ACCESSOIRES-CHIEN;ACCESSOIRES-CHIEN-NOEL;ACCESSOIRES-CHIEN-NOEL-AUTRES
E1AY_YYZZ;ACCESSOIRES-CHIEN;ACCESSOIRES-CHIEN-ITEMS PROMOTIONNELS;ACCESSOIRES-CHIEN-ITEMS PROMOTIONNELS-AUTRES
E2AL_BIFZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS-LAISSES
E2AL_BIGZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS-LAISSES
E2AL_BIHZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS-LAISSES
E2AL_BIYZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS-LAISSES
E2AL_BJFZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS-COLLIERS
E2AL_BJGZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS-COLLIERS
E2AL_BJIZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS-COLLIERS
E2AL_BJYZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS-COLLIERS
E2AL_BKFZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS-HARNAIS
E2AL_BKGZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS-HARNAIS
E2AL_BKYZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS-HARNAIS
E2AL_YYJZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS-AUTRES
E2AL_YYKZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS;ACCESSOIRES-CHAT-LAISSES/COLLIERS/HARNAIS-AUTRES
E2AM_BLMZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-V“TEMENTS;ACCESSOIRES-CHAT-V“TEMENTS-COUVRE-CORPS
E2AM_BLRZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-V“TEMENTS;ACCESSOIRES-CHAT-V“TEMENTS-COUVRE-CORPS
E2AM_BNZZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-V“TEMENTS;ACCESSOIRES-CHAT-V“TEMENTS-FOULARDS ET BOUCLES
E2AN_BPZZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-CONFORT;ACCESSOIRES-CHAT-CONFORT-ARBRES ∑ CHAT
E2AN_YYZZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-CONFORT;ACCESSOIRES-CHAT-CONFORT-AUTRES
E2AO_BUZZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-JOUETS;ACCESSOIRES-CHAT-JOUETS-GRATTOIRS
E2AO_BYZZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-JOUETS;ACCESSOIRES-CHAT-JOUETS-HERBE ∑ CHAT
E2AO_YYZZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-JOUETS;ACCESSOIRES-CHAT-JOUETS-AUTRES 
E2AP_BVNZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-BOLS/CONTENANTS/DISTRIBUTEURS;ACCESSOIRES-CHAT-BOLS/CONTENANTS/DISTRIBUTEURS-BOLS
E2AP_BVOZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-BOLS/CONTENANTS/DISTRIBUTEURS;ACCESSOIRES-CHAT-BOLS/CONTENANTS/DISTRIBUTEURS-BOLS
E2AP_BVYZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-BOLS/CONTENANTS/DISTRIBUTEURS;ACCESSOIRES-CHAT-BOLS/CONTENANTS/DISTRIBUTEURS-BOLS
E2AP_BWZZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-BOLS/CONTENANTS/DISTRIBUTEURS;ACCESSOIRES-CHAT-BOLS/CONTENANTS/DISTRIBUTEURS-CONTENANTS D'ENTREPOSAGE / PELLE NOURR
E2AP_BXZZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-BOLS/CONTENANTS/DISTRIBUTEURS;ACCESSOIRES-CHAT-BOLS/CONTENANTS/DISTRIBUTEURS-DISTRIBUTEURS / ABREUVOIRS
E2AP_CRZZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-BOLS/CONTENANTS/DISTRIBUTEURS;ACCESSOIRES-CHAT-BOLS/CONTENANTS/DISTRIBUTEURS-NAPPERONS
E2AR_CBZZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-TRANSPORT;ACCESSOIRES-CHAT-TRANSPORT-SêCURITê
E2AR_CCPZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-TRANSPORT;ACCESSOIRES-CHAT-TRANSPORT-TRANSPORTEURS
E2AR_CCQZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-TRANSPORT;ACCESSOIRES-CHAT-TRANSPORT-TRANSPORTEURS
E2AR_YYZZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-TRANSPORT;ACCESSOIRES-CHAT-TRANSPORT-AUTRES
E2AU_YYZZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-DIVERS;ACCESSOIRES-CHAT-DIVERS-AUTRES
E2AW_YYZZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-NOEL;ACCESSOIRES-CHAT-NOEL-AUTRES
E2AY_YYZZ;ACCESSOIRES-CHAT;ACCESSOIRES-CHAT-ITEMS PROMOTIONNELS;ACCESSOIRES-CHAT-ITEMS PROMOTIONNELS-AUTRES
E4AO_YYZZ;ACCESSOIRES-OISEAUX;ACCESSOIRES-OISEAUX-JOUETS;ACCESSOIRES-OISEAUX-JOUETS-AUTRES 
E4AQ_AFZZ;ACCESSOIRES-OISEAUX;ACCESSOIRES-OISEAUX-CAGES/ABRIS;ACCESSOIRES-OISEAUX-CAGES/ABRIS-SAUVAGES
E4AQ_AGZZ;ACCESSOIRES-OISEAUX;ACCESSOIRES-OISEAUX-CAGES/ABRIS;ACCESSOIRES-OISEAUX-CAGES/ABRIS-DOMESTIQUES
E4AQ_CAZZ;ACCESSOIRES-OISEAUX;ACCESSOIRES-OISEAUX-CAGES/ABRIS;ACCESSOIRES-OISEAUX-CAGES/ABRIS-MANGEOIRES
E4AQ_YYZZ;ACCESSOIRES-OISEAUX;ACCESSOIRES-OISEAUX-CAGES/ABRIS;ACCESSOIRES-OISEAUX-CAGES/ABRIS-AUTRES
E4BG_AFZZ;ACCESSOIRES-OISEAUX;ACCESSOIRES-OISEAUX-MANGEOIRES;ACCESSOIRES-OISEAUX-MANGEOIRES-SAUVAGES
E4YY_CJZZ;ACCESSOIRES-OISEAUX;ACCESSOIRES-OISEAUX-AUTRES;ACCESSOIRES-OISEAUX-AUTRES-DOMESTIQUES
E4YY_CKZZ;ACCESSOIRES-OISEAUX;ACCESSOIRES-OISEAUX-AUTRES;ACCESSOIRES-OISEAUX-AUTRES-SAUVAGES
E5AO_YYZZ;ACCESSOIRES-PETITS ANIMAUX ET POISSONS;ACCESSOIRES-PETITS ANIMAUX ET POISSONS-JOUETS;ACCESSOIRES-PETITS ANIMAUX ET POISSONS-JOUETS-AUTRES 
E5AQ_ZZZZ;ACCESSOIRES-PETITS ANIMAUX;ACCESSOIRES-PETITS ANIMAUX-CAGES/ABRIS;ACCESSOIRES-PETITS ANIMAUX-CAGES/ABRIS-NON-DEFINI
E5AU_YYZZ;ACCESSOIRES-PETITS ANIMAUX ET POISSONS;ACCESSOIRES-PETITS ANIMAUX ET POISSONS-DIVERS;ACCESSOIRES-PETITS ANIMAUX ET POISSONS-DIVERS-AUTRES 
E5BH_ALZZ;ACCESSOIRES-PETITS ANIMAUX;ACCESSOIRES-PETITS ANIMAUX-HABITATS;ACCESSOIRES-PETITS ANIMAUX-HABITATS-POISSONS
E5BH_CQZZ;ACCESSOIRES-PETITS ANIMAUX;ACCESSOIRES-PETITS ANIMAUX-HABITATS;ACCESSOIRES-PETITS ANIMAUX-HABITATS-REPTILES
E5YY_ALZZ;ACCESSOIRES-PETITS ANIMAUX;ACCESSOIRES-PETITS ANIMAUX-AUTRES;ACCESSOIRES-PETITS ANIMAUX-AUTRES-POISSONS
E5YY_CQZZ;ACCESSOIRES-PETITS ANIMAUX;ACCESSOIRES-PETITS ANIMAUX-AUTRES;ACCESSOIRES-PETITS ANIMAUX-AUTRES-REPTILES
E6AY_YYZZ;ACCESSOIRES-DIVERS;ACCESSOIRES-DIVERS-ITEMS PROMOTIONNELS;ACCESSOIRES-DIVERS-ITEMS PROMOTIONNELS-AUTRES
E9AT_CGZZ;ACCESSOIRES-AUTRES;ACCESSOIRES-AUTRES-PUBLICATIONS;ACCESSOIRES-AUTRES-PUBLICATIONS-LIVRES
E9AT_CHZZ;ACCESSOIRES-AUTRES;ACCESSOIRES-AUTRES-PUBLICATIONS;ACCESSOIRES-AUTRES-PUBLICATIONS-REVUES
E9AT_CIZZ;ACCESSOIRES-AUTRES;ACCESSOIRES-AUTRES-PUBLICATIONS;ACCESSOIRES-AUTRES-PUBLICATIONS-CALENDRIERS ET AGENDAS
E9AT_YYZZ;ACCESSOIRES-AUTRES;ACCESSOIRES-AUTRES-PUBLICATIONS;ACCESSOIRES-AUTRES-PUBLICATIONS-AUTRES
E9AU_CLZZ;ACCESSOIRES-AUTRES;ACCESSOIRES-AUTRES-DIVERS;ACCESSOIRES-AUTRES-DIVERS-CADEAUX
E9AU_WWZZ;ACCESSOIRES-AUTRES;ACCESSOIRES-AUTRES-DIVERS;ACCESSOIRES-AUTRES-DIVERS-MEDAILLE DE LA VILLE
E9AU_YYZZ;ACCESSOIRES-AUTRES;ACCESSOIRES-AUTRES-DIVERS;ACCESSOIRES-AUTRES-DIVERS-AUTRES
GiftCerti;VENDABLE-VENDABLE;VENDABLE-VENDABLE-GIFT CERTIFICATE;VENDABLE-VENDABLE-GIFT CERTIFICATE-AUTRES
X7AY_YYZZ;NON-VENDABLE-ITEM PROMOTIONNEL;NON-VENDABLE-ITEM PROMOTIONNEL-ITEM PROMOTIONNEL;NON-VENDABLE-ITEM PROMOTIONNEL-ITEM PROMOTIONNEL-AUTRES
X8XA_XXZZ;NON-VENDABLE-NON-VENDABLE;NON-VENDABLE-NON-VENDABLE-FOURNITURES ENTRETIEN;NON-VENDABLE-NON-VENDABLE-FOURNITURES ENTRETIEN-êQUIPEMENTS
X8XB_XXZZ;NON-VENDABLE-NON-VENDABLE;NON-VENDABLE-NON-VENDABLE-FOURNITURES CONSOMMABLE;NON-VENDABLE-NON-VENDABLE-FOURNITURES CONSOMMABLE-êQUIPEMENTS
X8XC_XXZZ;NON-VENDABLE-NON-VENDABLE;NON-VENDABLE-NON-VENDABLE-FOURNITURES êQUIPEMENT;NON-VENDABLE-NON-VENDABLE-FOURNITURES êQUIPEMENT-êQUIPEMENTS
X9YA_ZZZZ;NON-VENDABLE-AUTRES;NON-VENDABLE-AUTRES-COUPONS;NON-VENDABLE-AUTRES-COUPONS-NON-DEFINI
X9YB_ZZZZ;NON-VENDABLE-AUTRES;NON-VENDABLE-AUTRES-DONS ;NON-VENDABLE-AUTRES-DONS -NON-DEFINI
X9ZA_ZZZZ;NON-VENDABLE-AUTRES;NON-VENDABLE-AUTRES-MATIERES PREMIERES;NON-VENDABLE-AUTRES-MATIERES PREMIERES-NON-DEFINI
X9ZB_ZZZZ;NON-VENDABLE-AUTRES;NON-VENDABLE-AUTRES-SERVICES;NON-VENDABLE-AUTRES-SERVICES-NON-DEFINI
X9ZE_ZZZZ;NON-VENDABLE-AUTRES;NON-VENDABLE-AUTRES-SACS;NON-VENDABLE-AUTRES-SACS-NON-DEFINI
X9ZF_ZZZZ;NON-VENDABLE-AUTRES;NON-VENDABLE-AUTRES-ARTICLE INVENTAIRE;NON-VENDABLE-AUTRES-ARTICLE INVENTAIRE-NON-DEFINI
Y0ZC_YYZZ;VENDABLE-VENDABLE;VENDABLE-VENDABLE-CARTE-CADEAUX;VENDABLE-VENDABLE-CARTE-CADEAUX-AUTRES
C5AH_YYZZ;PROPRETê-PETITS ANIMAUX;PROPRETê-PETITS ANIMAUX-LITI‘RES;PROPRETê-PETITS ANIMAUX-LITI‘RES-AUTRES
